attackkey,overlap,total_received,tp,fp,tn,fn
cb64829d271436ed8cecb4bb27361bc3,0,1097130,1582358,485228,1097130,0
5227726708b41c2e32339a1390cee196,0,1409828,1582358,172530,1409828,0
b5899b7b37479aeeeab460be6c18a9b7,0,1097130,1582358,485228,1097130,0
2aea4762adb27fef7e85e8db571ed5cd,0,1097130,1582358,485228,1097130,0
7369c084ba677414c62078391642dbdb,0,1097130,1582358,485228,1097130,0
78fe36a1b019ac657a615aee5b586c5f,0,1582350,1582358,8,1582350,0
24ef523add9c0f81ef6eaa4acbe7e8fa,0,1097130,1582358,485228,1097130,0
e767ac8732b5bf1ca108fa87cccca637,0,1466250,1582358,116108,1466250,0
bc7d4276afb17e5b891cc52a6ab227cf,0,1097130,1582358,485228,1097130,0
7b7d4690581b4f477aa724ca334e4b00,0,1466250,1582358,116108,1466250,0
7c4aea89cbb214c2decbcf8f54f82c9a,0,1582358,1582358,0,1582358,0
fa60cb80a3682e46b2485bc70a6f081b,0,1097130,1582358,485228,1097130,0
e02ef1367251102edf70b4700bba4447,0,1097130,1582358,485228,1097130,0
65be65eff3db76438f48cab4c215ca37,0,1409828,1582358,172530,1409828,0
68a4dfd6ab5867239540d9492e83936b,0,1466250,1582358,116108,1466250,0
d0e3e7183360c2266df617aaca2d304e,0,1097130,1582358,485228,1097130,0
76e4f2ada11069b1817bad8e65eb71e7,0,1466250,1582358,116108,1466250,0
a3d5d0f2572b7fb2a02abca870483b31,0,1097130,1582358,485228,1097130,0
8872a9dbe3bd77b5c0ada46e017d18b6,0,1582358,1582358,0,1582358,0
49a83253667d7f3ae8d59f195fc01a93,0,1097130,1582358,485228,1097130,0
f792a55b9379cdcdf10eefeb2f1f5f7d,0,1466250,1582358,116108,1466250,0
2c93fe1b1455e845ca1506b5c086c75c,0,1466250,1582358,116108,1466250,0
f958dcaf4c0a8a7386a47ce7e0e78fcb,0,1466250,1582358,116108,1466250,0
25f946c0727f84b2f0772cbe1425e0f4,0,1582358,1582358,0,1582358,0
58fcb1f95687371795ab9dff690ba969,0,1097130,1582358,485228,1097130,0
13dcbff6256ea2f72064d3f5a517f893,0,1097130,1582358,485228,1097130,0
998217264ab3fbdc001bb5d473e59173,0,1097130,1582358,485228,1097130,0
dcf432c3bd46285a37c536ff0a76fed6,0,1582358,1582358,0,1582358,0
9647a3a2d057b7cfe984b0449480369f,0,1097130,1582358,485228,1097130,0
1c38db3357601b71c17a0679befa348d,0,1466250,1582358,116108,1466250,0
c19e1b67baec3afe060c93ef25aee2c4,0,1097130,1582358,485228,1097130,0
16d4cc2995ab2c68bb2f14224222179e,0,1582358,1582358,0,1582358,0
1852e5d6265f699a28aa435514e5bbcf,0,1097130,1582358,485228,1097130,0
7d6ec50671440bf773a76f0da7c5e1d8,0,1582358,1582358,0,1582358,0
7a48ffe5c9756623ec8fb66ed529bf83,0,1097130,1582358,485228,1097130,0
3523f48841358c9b44211cf5a121fea3,0,1097130,1582358,485228,1097130,0
ea61108d76c3f0c28ae28b624d832c90,0,1466250,1582358,116108,1466250,0
41f6d916c442e0541cbf0da832cff54a,0,1097130,1582358,485228,1097130,0
fbd6ca4d9a05a858a1c9c7a428acf18a,0,1466250,1582358,116108,1466250,0
1b6ff18c6fa1bc0d72a28ebf43546f88,0,1466250,1582358,116108,1466250,0
0bf9e1720d3a65a4310458f8e4f170cf,0,1582358,1582358,0,1582358,0
369908ecd451ad538aeafb9b595e09eb,0,1097130,1582358,485228,1097130,0
8da6cac139ae8bb3a3fef80a7dfbf099,0,1582358,1582358,0,1582358,0
503ea47c2b9f49dd62a2b80637a2256e,0,1097130,1582358,485228,1097130,0
f0272bfa88decdbebfeed375b4d09a9d,0,1097130,1582358,485228,1097130,0
54d21d48c65ec87809c0adbe71109388,0,1466250,1582358,116108,1466250,0
e5859c5cf5e10220cbb26664259b71d8,0,1097130,1582358,485228,1097130,0
ce2b3dd035f5ee3ac8a9f530c90c5816,0,1097130,1582358,485228,1097130,0
156405ae844c064eb64c411a7d338b94,0,1097130,1582358,485228,1097130,0
e76de69bb4ccbb9ba547471b255e1efd,0,1097130,1582358,485228,1097130,0
4b77fc23d646e539fb7f8a2271611df5,0,1466250,1582358,116108,1466250,0
475db014220dd39dc0dab8ccfc74c613,0,1097130,1582358,485228,1097130,0
baf5d366adcda5ae23e1b22d103b62ba,0,1466250,1582358,116108,1466250,0
fe51e2f6633f873f62dc4976addd9b06,0,1097130,1582358,485228,1097130,0
47b71dc7f1283a49d82c4406b48408d2,0,1466250,1582358,116108,1466250,0
26d9d6efa0903fc32c5dcf3f543b450d,0,1466250,1582358,116108,1466250,0
d8b50c1e9fdf0d7f7f9a191e49bcac6c,0,1097130,1582358,485228,1097130,0
5cce5b4b820297809264df216157a473,0,1466250,1582358,116108,1466250,0
f6e29b85bbc8ce4180c512abb18934a8,0,1466250,1582358,116108,1466250,0
d3f08d7a958c1e200ea2ee9038d72589,0,1097130,1582358,485228,1097130,0
f2d8a69a5d312683681935bf1a34c581,0,1466250,1582358,116108,1466250,0
bccff1c4830d567597106c927ef7ad10,0,1466250,1582358,116108,1466250,0
c04f47407f4792e54f9abd7d58892163,0,1466250,1582358,116108,1466250,0
5f679e0ddd749c643dc8ca9154488a7b,0,1466250,1582358,116108,1466250,0
4ec7852e4c729d611323013f1afe775b,0,1466250,1582358,116108,1466250,0
6ef82db6cb2b4f04fd0c4bb6785045fc,0,1582358,1582358,0,1582358,0
ada34a9e7c812fcce244a87d39f0362c,0,1097130,1582358,485228,1097130,0
72992210be08824991585ce63a3c03a3,0,1582358,1582358,0,1582358,0
0e076318f6d00219ed9ce06eeb0045fa,0,1097130,1582358,485228,1097130,0
91584f010207de9720454193e315d02f,0,1097130,1582358,485228,1097130,0
81440b21fc9b1f2929e8d22bdab25a86,0,1466250,1582358,116108,1466250,0
8b5ee8f1ee04cc454040cbe9137806c0,0,1582358,1582358,0,1582358,0
01bda32f886243c297074ce4accd5a23,0,1466250,1582358,116108,1466250,0
915c470676ed79290c9f021114647421,0,1097130,1582358,485228,1097130,0
914fac6f580cece4a4f39e056d94e272,0,1097130,1582358,485228,1097130,0
e24949ad9d00c998a22725fd533728f3,0,1097130,1582358,485228,1097130,0
7a9c9d05ad567c9d2ce985c2b2551485,0,1466250,1582358,116108,1466250,0
16b8ecd243672d692bbe5e2ecf1c6b36,0,1097130,1582358,485228,1097130,0
5581d4c181a5e36c71508b76f6d4b4a5,0,1466250,1582358,116108,1466250,0
6c2b6b2d4e7fe0dedba454f8f999ab2d,0,1097130,1582358,485228,1097130,0
ec33535d853bee050aa59b60e3f545da,0,1466250,1582358,116108,1466250,0
b8d74c569f985a8d6b20192345db732f,0,1097130,1582358,485228,1097130,0
17148f16c77d291cfa9e5fb7e4e3ac43,0,1466250,1582358,116108,1466250,0
39b684d5e448abcece02cdf29dde6cda,0,1097130,1582358,485228,1097130,0
d317234dd833a88d5000f4f87639140d,0,1466250,1582358,116108,1466250,0
398b345a624c1692c122f21f3eb75d89,0,1097130,1582358,485228,1097130,0
cd5f2d18a669bac477013a7c3cd8538f,0,1097130,1582358,485228,1097130,0
ab36cf8007f4a0ca03195d92db11d846,0,1582358,1582358,0,1582358,0
eb71b97d7e3aecc2353c402ead9293ac,0,1097130,1582358,485228,1097130,0
1a504b64f82043d916cc6cffb4b0e5da,0,1097130,1582358,485228,1097130,0
4a2d1772b48e75a0cf35aeb477914bce,0,1466250,1582358,116108,1466250,0
9b5987a259eab74e3a70189fc22ed529,0,1466250,1582358,116108,1466250,0
474b2c214c447ec4369a9e7a5dc9bc4e,0,1466250,1582358,116108,1466250,0
6e6319ae3c09a76f30317daf2361129a,0,1097130,1582358,485228,1097130,0
4185eafab690c8b6ab9a8202d75828d8,0,1466250,1582358,116108,1466250,0
e0e6a3cbbbf2ac3e039fbeaadc8fb098,0,1466250,1582358,116108,1466250,0
cb24912d8354938667c4c37b8862c679,0,1582358,1582358,0,1582358,0
f982979ae786aa6ee499d74f247c5fb7,0,1582350,1582358,8,1582350,0
16f884db8f87a4cc4b78a4c9a289fe91,0,1582358,1582358,0,1582358,0
2ea750d2b68231e4ad9879b07826bc45,0,1582358,1582358,0,1582358,0
e6b4adab54d19c7dd854ab7fa6374dc8,0,1466250,1582358,116108,1466250,0
2cfc6e2d2b3f746f290fa07cd5f00a36,0,1466250,1582358,116108,1466250,0
e48f7b7354767cec1ddab6b758f46d77,0,1097130,1582358,485228,1097130,0
76c6ee3ef0095563819379d7860f026f,0,1097130,1582358,485228,1097130,0
b40aae049263409f1e2a8ff3e8053092,0,1097130,1582358,485228,1097130,0
a5554cdb360aa6c386bae7656fc8a26c,0,1466250,1582358,116108,1466250,0
b7277b9c14fe85b3105ad3b623cbc6f0,0,1466250,1582358,116108,1466250,0
d2909bacb4ead04763393f239e434c57,0,1466250,1582358,116108,1466250,0
ffa8ec39fc08dfc4f2b3fe532bef3205,0,1097130,1582358,485228,1097130,0
3669b53dd11909bb8b5f853c82910fd1,0,1097130,1582358,485228,1097130,0
42ddf8d51934e421653b8c84868cdb6b,0,1466250,1582358,116108,1466250,0
0eb58b69217c4ebbc57907d78a02f1d6,0,1582280,1582358,78,1582280,0
fb6eee4a8e759b9c5efe61c281e45f0b,0,1097130,1582358,485228,1097130,0
76a5e6214eda4d214898ca5f3962922a,0,1097130,1582358,485228,1097130,0
d2b81b36e63a92e6811a61d15612a6cd,0,1466250,1582358,116108,1466250,0
75ad0976fcd1fce4b793ecfc64756bae,0,1582358,1582358,0,1582358,0
abff6577dd7a95440beb7c70b4d2d86f,0,1466250,1582358,116108,1466250,0
